                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 1.3521,                0.62319,                0.97874,                0.98303,                0.99784,                0.99456,                0.53449,                 1.7262,                0.62658,                 1.0743,             0.00049076,             0.00049076,             0.00049076
                     86,                 1.3801,                 0.6311,                0.97789,                0.97421,                 0.9708,                0.98555,                0.53151,                 1.7092,                0.66563,                 1.0714,             0.00048664,             0.00048664,             0.00048664
                     87,                 1.3459,                 0.6462,                0.95988,                0.98266,                0.98334,                0.98645,                0.52287,                 1.7518,                0.63018,                 1.0805,             0.00048252,             0.00048252,             0.00048252
                     88,                 1.3263,                0.62223,                0.95786,                0.99145,                0.99195,                0.99179,                0.52968,                 1.7233,                0.63326,                  1.069,             0.00047839,             0.00047839,             0.00047839
                     89,                 1.3433,                0.62576,                0.96901,                0.98534,                0.98438,                0.98896,                0.53244,                 1.7485,                0.62355,                 1.0853,             0.00047427,             0.00047427,             0.00047427
                     90,                 1.3445,                 0.6137,                0.96924,                0.99362,                0.99219,                0.99194,                0.52628,                 1.7442,                0.63451,                 1.0858,             0.00047015,             0.00047015,             0.00047015
                     91,                 1.3396,                0.61399,                0.96767,                0.98276,                0.98437,                  0.986,                0.52638,                 1.7638,                0.63631,                 1.0966,             0.00046602,             0.00046602,             0.00046602
                     92,                 1.3202,                0.61338,                 0.9534,                0.99214,                0.99209,                0.99194,                0.53676,                 1.7153,                0.62359,                 1.0726,              0.0004619,              0.0004619,              0.0004619
                     93,                 1.3076,                 0.6075,                0.94779,                0.99196,                0.99165,                0.99417,                0.53371,                 1.7172,                0.61584,                 1.0772,             0.00045778,             0.00045778,             0.00045778
                     94,                 1.3191,                0.61808,                0.95671,                0.98946,                0.99219,                0.99456,                0.53026,                 1.7381,                0.62896,                 1.0873,             0.00045365,             0.00045365,             0.00045365
                     95,                 1.3182,                0.59926,                0.95548,                0.98625,                0.98185,                0.98173,                0.52933,                 1.7308,                0.63344,                 1.0785,             0.00044953,             0.00044953,             0.00044953
                     96,                 1.3269,                0.61517,                0.95822,                0.99012,                0.99473,                  0.995,                0.54636,                 1.6962,                0.61942,                 1.0678,             0.00044541,             0.00044541,             0.00044541
                     97,                 1.2993,                0.60433,                0.94749,                0.99418,                      1,                  0.995,                0.53199,                 1.7077,                0.62729,                 1.0811,             0.00044128,             0.00044128,             0.00044128
                     98,                  1.316,                0.59817,                0.96426,                0.98957,                0.99838,                  0.995,                0.53398,                 1.7359,                0.60873,                 1.0886,             0.00043716,             0.00043716,             0.00043716
                     99,                 1.3094,                0.60977,                0.95086,                0.99239,                0.99284,                  0.995,                0.52012,                 1.7705,                0.62842,                 1.0929,             0.00043304,             0.00043304,             0.00043304
                    100,                 1.3257,                0.59212,                0.96213,                0.99294,                0.99408,                  0.995,                0.54363,                 1.7258,                0.60893,                 1.0756,             0.00042891,             0.00042891,             0.00042891
                    101,                 1.2855,                0.58849,                0.95437,                0.99367,                0.98895,                0.99321,                 0.5278,                 1.7526,                0.62646,                 1.0845,             0.00042479,             0.00042479,             0.00042479
                    102,                  1.306,                0.59753,                0.96253,                0.99085,                0.99219,                0.99321,                0.51868,                 1.7435,                0.63213,                 1.0837,             0.00042066,             0.00042066,             0.00042066
                    103,                 1.2559,                0.58903,                0.93526,                0.98972,                0.99219,                 0.9935,                0.50809,                 1.7935,                 0.6254,                 1.0949,             0.00041654,             0.00041654,             0.00041654
                    104,                 1.3133,                0.60111,                0.94522,                0.98815,                0.99606,                  0.995,                0.53087,                 1.7568,                0.61579,                 1.0854,             0.00041242,             0.00041242,             0.00041242
                    105,                 1.3009,                0.60159,                0.94853,                 0.9911,                0.98851,                0.98983,                0.53758,                 1.7248,                0.60701,                 1.0757,             0.00040829,             0.00040829,             0.00040829
                    106,                 1.2679,                0.58048,                0.94816,                0.99158,                0.99113,                0.99382,                0.54148,                 1.7456,                 0.6157,                 1.0811,             0.00040417,             0.00040417,             0.00040417
                    107,                 1.2803,                0.59023,                0.94798,                 0.9834,                0.98438,                0.99029,                0.53383,                 1.7581,                0.60792,                 1.0851,             0.00040005,             0.00040005,             0.00040005
                    108,                 1.2383,                0.57414,                0.94306,                0.99163,                0.99219,                 0.9935,                0.52276,                 1.7581,                0.59674,                 1.0903,             0.00039592,             0.00039592,             0.00039592
                    109,                 1.2391,                0.57654,                 0.9435,                 0.9922,                 0.9904,                0.98935,                0.51843,                 1.8038,                0.62566,                 1.1027,              0.0003918,              0.0003918,              0.0003918
                    110,                 1.2505,                0.57086,                0.95283,                0.99195,                0.99219,                0.99321,                0.52183,                 1.7713,                0.60618,                 1.0931,             0.00038768,             0.00038768,             0.00038768
                    111,                  1.255,                0.56594,                 0.9389,                 0.9806,                0.98554,                0.98664,                0.52051,                 1.7441,                0.59578,                 1.0901,             0.00038355,             0.00038355,             0.00038355
                    112,                  1.252,                0.57501,                0.94048,                0.99019,                  0.994,                  0.995,                0.51987,                 1.7983,                0.62101,                 1.0971,             0.00037943,             0.00037943,             0.00037943
                    113,                 1.2444,                0.57136,                0.92914,                0.99069,                0.98874,                0.99417,                0.52979,                 1.7534,                0.61554,                 1.0966,             0.00037531,             0.00037531,             0.00037531
                    114,                 1.2591,                0.57364,                0.94397,                0.99289,                0.99219,                 0.9925,                0.52314,                 1.7604,                0.59763,                 1.0932,             0.00037118,             0.00037118,             0.00037118
                    115,                 1.2231,                0.56119,                0.92475,                0.99346,                0.99273,                  0.995,                0.53511,                 1.7492,                0.60212,                 1.0893,             0.00036706,             0.00036706,             0.00036706
                    116,                 1.2275,                0.56143,                0.93884,                0.98726,                0.98562,                0.99456,                0.54003,                 1.7172,                0.59961,                 1.0859,             0.00036294,             0.00036294,             0.00036294
                    117,                 1.1994,                0.55343,                0.92474,                0.99334,                 0.9929,                  0.995,                0.53247,                 1.7238,                0.59703,                 1.0838,             0.00035881,             0.00035881,             0.00035881
                    118,                 1.2181,                0.55956,                0.93464,                0.98508,                0.98547,                0.98941,                0.51758,                 1.7575,                0.59789,                 1.1046,             0.00035469,             0.00035469,             0.00035469
                    119,                 1.2581,                0.58223,                0.94967,                0.99377,                      1,                  0.995,                0.52026,                 1.7589,                0.61339,                 1.0924,             0.00035057,             0.00035057,             0.00035057
                    120,                 1.2153,                0.55784,                0.93152,                0.98182,                0.99219,                0.98586,                0.54591,                 1.7207,                0.61097,                 1.0813,             0.00034644,             0.00034644,             0.00034644
                    121,                 1.2001,                0.55315,                0.92367,                0.99352,                0.99361,                  0.995,                0.51778,                 1.7938,                 0.6109,                  1.102,             0.00034232,             0.00034232,             0.00034232
                    122,                  1.248,                0.55844,                0.93924,                0.98818,                0.99219,                0.99382,                0.50575,                 1.8405,                0.61568,                 1.1191,              0.0003382,              0.0003382,              0.0003382
                    123,                 1.2208,                0.54811,                0.93676,                0.98479,                0.98648,                0.98933,                0.51156,                 1.8038,                0.61369,                 1.1128,             0.00033407,             0.00033407,             0.00033407
